radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820210902,7,7,1,0,0,0,0,0,15,0
820210903,11,27,0,1,0,0,0,1,40,0
820210904,12,20,0,0,0,0,0,0,32,0
820210905,1,10,0,1,0,0,0,0,12,0
820210906,6,3,0,0,0,0,0,0,9,0
820210907,2,6,0,0,0,0,0,0,8,0
820210908,0,0,0,0,0,0,0,0,0,0
820210909,4,0,0,0,0,0,4,0,8,0
820210910,0,1,3,0,0,0,0,0,4,0
820210911,9,15,0,0,0,0,0,0,24,0
820210912,6,9,0,0,0,0,2,0,17,0
820210913,2,16,0,0,0,0,0,0,18,0
820210914,4,6,0,0,0,0,0,0,10,0
820211001,8,10,1,0,0,0,0,0,19,0
820211002,15,13,0,0,0,0,0,0,28,0
820211003,2,22,0,0,0,0,0,0,24,0
820211004,0,17,3,0,0,0,0,0,20,0
820211005,6,7,0,0,0,0,0,0,13,0
820211006,3,27,0,0,0,0,0,0,30,0
820211007,0,9,0,0,0,0,0,0,9,0
820211008,2,5,0,0,0,0,0,0,7,0
820211009,4,33,0,0,0,0,0,1,38,0
820211010,1,2,0,0,0,0,0,0,3,0
820211011,2,7,0,0,0,0,0,5,14,0
820211012,0,27,0,0,2,0,0,0,29,0
820211013,6,34,4,0,1,0,0,1,46,0
820211014,5,29,0,0,1,0,0,0,35,0
820211015,6,8,0,0,0,0,0,1,15,0
820211016,4,5,0,2,0,0,0,0,11,0
820211017,15,6,0,0,0,0,0,0,21,0
820211018,5,4,0,0,0,0,0,0,9,0
820280101,4,2,0,0,0,0,0,0,6,0
820280102,0,2,0,0,0,0,0,0,2,0
820280103,1,5,0,0,0,0,0,3,9,0
820280104,9,32,2,0,0,0,0,5,48,0
820280105,9,64,2,0,0,0,0,1,76,0
820280106,1,4,0,0,0,0,0,0,5,0
820280107,2,16,4,0,0,0,0,0,22,0
820280108,1,3,0,0,0,0,0,0,4,0
820280109,5,7,0,0,0,0,0,0,13,1
820280110,1,6,0,0,0,0,0,0,7,0
820280111,3,2,0,0,0,0,1,0,6,0
820280112,4,8,0,0,1,0,0,0,13,0
820280113,0,8,0,0,0,0,0,0,8,0
820280114,5,14,3,0,0,0,0,0,22,0
820280115,2,0,0,0,0,0,0,0,2,0
820280116,0,0,0,0,0,0,0,0,0,0
820280117,8,25,0,0,1,0,0,0,35,1
820280118,1,2,0,0,0,0,0,0,3,0
820280119,3,3,0,0,0,0,0,0,7,1
820280120,0,1,0,0,0,0,0,0,1,0
820280121,3,4,0,0,0,0,0,0,7,0
820280122,3,1,0,0,0,0,0,0,4,0
820280123,0,3,0,0,0,0,0,0,3,0
820280124,3,4,0,0,0,0,0,0,7,0
820280201,6,32,1,0,0,0,1,1,41,0
820280202,3,3,0,0,0,0,0,0,6,0
820280203,1,4,0,0,0,0,0,0,5,0
820280204,1,3,0,0,0,0,0,0,4,0
820280205,7,38,0,0,0,0,0,1,46,0
820280206,1,0,0,0,0,0,0,1,2,0
820280207,2,6,2,0,0,0,0,0,10,0
820280208,0,2,0,0,0,0,0,1,3,0
820280209,0,12,0,0,0,0,0,0,12,0
820280210,1,5,0,0,0,0,0,1,7,0
820280211,1,11,0,0,0,0,0,1,13,0
820280212,4,51,0,0,0,0,0,0,55,0
820280213,0,1,0,0,0,0,0,0,1,0
820280214,4,8,0,0,0,0,0,0,12,0
820280215,1,1,0,0,0,0,0,0,2,0
820280216,0,6,0,0,0,0,0,0,6,0
820280217,1,3,0,0,0,0,0,0,4,0
820280218,1,1,0,0,0,0,0,0,2,0
820280219,1,1,0,0,0,0,0,0,2,0
820280220,1,5,0,0,0,0,0,0,6,0
820280221,3,5,0,0,0,0,0,1,9,0
820280301,11,158,31,0,4,0,0,26,230,0
820280302,8,3,0,0,1,0,1,0,13,0
820280303,8,7,2,0,0,0,0,0,17,0
820280304,5,1,0,0,0,0,0,0,6,0
820280305,1,0,0,0,0,0,0,0,1,0
820280306,10,14,1,2,0,0,0,9,36,0
820280307,4,21,1,0,0,0,0,0,26,0
820280308,0,1,0,0,1,0,0,0,2,0
820280309,35,40,2,0,0,0,0,2,79,0
820280310,2,16,0,0,0,0,0,1,19,0
820280311,4,1,0,0,0,0,0,0,5,0
820280312,4,2,1,0,0,0,0,2,9,0
