radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820210912,0,11,0,0,0,0,1,0,12,0
820210913,0,17,0,0,0,0,0,0,17,0
820210914,0,6,0,1,0,0,0,0,7,0
820211001,8,10,1,0,0,0,0,0,19,0
820211002,13,13,0,0,0,0,0,0,26,0
820211003,0,21,0,0,0,0,0,0,21,0
820211004,0,18,3,0,0,0,0,0,21,0
820211005,3,8,0,0,0,0,0,0,11,0
820211006,0,28,0,0,0,0,0,0,28,0
820211007,0,9,0,1,0,0,0,0,10,0
820211008,1,5,0,0,0,0,0,0,6,0
820211009,1,32,0,0,0,0,0,1,34,0
820211010,1,2,0,0,0,0,0,0,3,0
820211011,2,8,0,0,0,0,0,1,11,0
820211012,0,24,0,0,2,0,0,0,26,0
820211013,0,33,4,0,1,0,0,1,39,0
820211014,1,29,0,0,1,0,0,0,31,0
820211015,2,8,0,0,0,0,0,1,11,0
820211016,0,5,0,0,0,0,0,0,5,0
820211017,0,8,0,0,0,0,0,0,8,0
820211018,0,4,0,0,0,0,0,0,4,0
820280101,3,3,0,0,0,0,0,0,6,0
820280102,0,2,0,0,0,0,0,0,2,0
820280103,0,5,0,0,0,0,0,3,8,0
820280104,2,36,2,0,0,0,0,5,45,0
820280105,1,70,6,0,0,0,0,3,80,0
820280106,0,4,0,0,0,0,0,0,4,0
820280107,0,17,4,0,0,0,0,0,21,0
820280108,0,3,0,0,0,0,0,0,3,0
820280109,0,5,0,0,0,0,0,0,5,0
820280110,0,6,0,0,0,0,0,0,6,0
820280111,3,2,0,0,0,0,0,1,6,0
820280112,1,8,0,0,1,0,0,0,10,0
820280113,0,8,0,0,0,0,0,0,8,0
820280114,0,12,0,0,0,0,0,0,12,0
820280115,2,0,0,0,0,0,0,0,2,0
820280116,0,1,1,0,0,0,0,1,4,1
820280117,0,26,0,0,1,0,0,1,28,0
820280118,1,3,0,0,0,0,0,0,4,0
820280119,1,3,0,0,0,0,0,0,5,1
820280120,0,1,0,0,0,0,0,0,1,0
820280121,0,4,0,0,0,0,0,0,4,0
820280122,0,3,0,0,0,0,0,0,3,0
820280123,0,3,1,0,0,0,0,0,4,0
820280124,0,4,0,0,0,0,0,0,4,0
820280201,0,29,1,0,0,0,0,2,32,0
820280202,3,5,0,0,0,0,0,0,8,0
820280203,0,6,0,0,2,0,0,0,8,0
820280204,0,3,0,0,0,0,0,0,3,0
820280205,0,37,0,0,0,0,0,3,40,0
