radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,NSA :,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820210411,305,1,0,8,1,0,0,0,0,315,0
820210412,228,0,0,19,0,0,0,0,0,247,0
820210413,226,4,0,32,0,1,0,0,0,262,0
820210414,305,1,0,12,0,0,0,2,0,320,0
820210415,280,15,0,29,1,1,0,5,1,331,0
820210416,819,102,1,3,0,3,0,0,0,925,0
820210417,258,130,2,0,0,0,0,4,0,394,0
820210418,311,101,0,20,0,0,0,0,3,435,0
820210419,269,125,0,9,0,0,0,0,1,404,0
820210420,202,39,0,3,0,0,0,0,2,246,0
820210421,191,11,0,5,0,0,0,0,0,207,0
820210422,813,118,15,17,0,0,0,3,9,975,0
820210501,244,73,0,0,0,0,0,0,2,319,0
820210502,205,127,0,9,0,0,0,7,7,355,0
820210503,318,57,4,6,0,0,0,4,2,391,0
820210504,230,31,0,10,0,0,0,5,1,277,0
820210505,385,80,6,28,1,1,0,1,6,507,0
820210506,272,31,0,14,0,0,0,16,0,333,0
820210507,221,4,0,17,0,0,0,0,0,242,0
820210508,316,5,0,43,1,1,0,0,0,365,0
820210509,149,0,0,101,0,3,1,0,0,251,0
820210510,149,1,0,57,0,2,0,0,0,207,0
820210511,209,1,0,54,0,2,4,9,0,277,0
820210512,298,97,0,3,1,0,0,0,0,399,0
820210513,393,107,1,20,1,1,0,9,0,531,0
820210514,312,89,14,12,0,0,1,3,15,446,0
820210601,326,8,0,0,0,0,0,0,0,334,0
820210602,264,2,0,90,0,0,0,6,0,362,0
820210603,218,0,0,74,0,1,0,0,0,292,0
820210604,217,5,0,66,0,2,0,0,0,288,0
820210605,333,2,0,39,0,0,0,0,0,374,0
820210606,285,2,0,41,0,0,0,1,0,329,0
820210607,393,4,0,47,0,1,4,1,0,449,0
820210608,312,22,5,60,0,0,0,0,1,400,0
820210609,403,4,0,18,0,0,2,0,0,427,0
820210610,329,37,1,1,0,0,0,2,0,370,0
820210611,338,12,0,0,0,0,0,0,0,350,0
820210612,354,32,0,14,0,0,0,3,0,403,0
820210613,252,15,0,11,0,1,0,0,0,278,0
820210614,357,15,0,6,1,1,0,0,1,380,0
820210615,128,5,0,0,0,0,0,0,0,133,0
820210616,887,15,0,77,0,1,0,1,4,984,0
820210617,247,3,0,9,0,1,0,0,0,259,0
820210618,393,39,1,6,0,0,0,1,1,441,0
820210619,401,37,1,12,0,0,0,0,1,452,0
820210620,389,2,0,14,0,1,0,1,0,406,0
820210701,200,32,0,0,0,0,2,0,0,234,0
820210702,252,271,3,1,0,0,0,0,1,530,2
820210703,36,9,0,0,0,0,0,0,0,45,0
820210704,38,13,0,0,0,0,0,0,0,51,0
820210705,28,5,0,0,0,0,0,0,0,33,0
820210706,173,49,1,0,0,0,1,0,2,226,0
820210707,242,46,0,0,0,0,0,1,1,290,0
820210708,2,3,0,0,0,0,0,0,0,5,0
820210709,26,8,0,0,0,0,0,0,0,34,0
820210710,235,34,0,0,0,0,0,0,0,269,0
820210711,30,7,0,0,0,0,0,0,0,37,0
820210712,295,13,0,2,1,0,0,0,0,311,0
820210713,191,40,0,0,3,0,1,0,2,237,0
820210714,42,17,0,0,0,0,0,0,0,59,0
