radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820210603,0,0,0,0,0,0,0,0,0,0
820210604,4,0,0,0,0,0,0,0,4,0
820210605,4,0,0,1,0,0,0,0,5,0
820210606,4,1,0,0,0,0,1,0,6,0
820210607,2,0,0,1,0,4,0,0,7,0
820210608,1,6,2,0,0,0,0,0,9,0
820210609,3,0,0,0,0,2,0,0,5,0
820210610,4,5,0,0,0,0,0,0,9,0
820210611,7,2,0,0,0,0,0,0,9,0
820210612,20,5,0,0,0,0,1,0,26,0
820210613,1,4,0,0,0,0,0,0,5,0
820210614,4,1,0,0,0,0,0,0,5,0
820210615,0,0,0,0,0,0,0,0,0,0
820210616,6,1,0,0,0,0,0,0,7,0
820210617,4,0,0,0,0,0,0,0,4,0
820210618,3,6,0,0,0,0,0,0,9,0
820210619,11,3,0,2,0,0,0,1,17,0
820210620,13,0,0,0,0,0,0,0,13,0
820210701,1,9,0,0,0,0,0,0,10,0
820210702,11,52,3,0,0,0,0,0,66,0
820210703,0,1,0,0,0,0,0,0,1,0
820210704,2,1,0,0,0,0,0,0,3,0
820210705,1,2,0,0,0,0,0,0,3,0
820210706,3,15,0,0,0,0,0,1,19,0
820210707,4,2,0,0,0,0,0,1,7,0
820210708,0,0,0,0,0,0,0,0,0,0
820210709,3,2,0,0,0,0,0,0,5,0
820210710,1,11,0,0,0,0,0,0,12,0
820210711,2,1,0,0,0,0,0,0,3,0
820210712,3,2,0,0,0,0,0,0,5,0
820210713,3,9,0,0,0,0,0,0,12,0
820210714,1,6,0,0,0,0,0,0,7,0
820210715,1,2,0,0,0,0,0,0,3,0
820210716,1,4,0,0,0,0,0,0,5,0
820210717,12,19,0,1,0,2,0,0,34,0
820210718,14,13,0,0,0,0,0,0,27,0
820210719,4,3,1,0,0,0,0,2,10,0
820210720,10,5,0,0,0,0,0,0,15,0
820210721,4,13,0,0,0,0,0,0,17,0
820210722,7,42,2,0,0,0,0,1,52,0
820210723,0,0,0,0,0,0,0,0,0,0
820210724,6,8,0,0,0,0,0,0,14,0
820210725,10,13,0,0,0,0,0,1,24,0
820210726,8,12,0,2,0,0,0,3,25,0
820210801,0,0,0,1,0,0,0,0,1,0
820210802,2,0,0,0,0,9,5,0,16,0
820210803,0,0,0,0,0,0,2,0,2,0
820210804,4,0,0,0,0,0,0,0,4,0
820210805,5,0,0,0,0,5,0,0,10,0
820210806,1,0,0,0,0,0,0,0,1,0
820210807,9,7,0,2,0,0,0,0,18,0
820210808,0,1,0,0,0,0,0,0,1,0
820210809,9,3,0,0,0,0,0,0,12,0
820210810,11,4,0,0,0,0,0,1,16,0
820210811,6,0,0,0,0,0,0,0,6,0
820210812,0,0,0,0,0,0,0,0,0,0
820210813,18,23,0,0,0,0,0,1,42,0
820210814,5,4,0,0,0,0,0,1,10,0
820210815,19,25,1,0,0,1,0,1,47,0
820210901,0,0,0,0,0,0,0,0,0,0
820210902,7,1,0,0,0,0,0,0,8,0
820210903,11,2,0,0,0,0,0,0,13,0
820210904,12,7,0,0,0,0,0,0,19,0
820210905,0,2,0,1,0,0,0,0,3,0
820210906,6,0,0,0,0,0,0,0,6,0
820210907,2,0,0,0,0,0,0,0,2,0
820210908,0,0,0,0,0,0,0,0,0,0
820210909,3,0,0,0,0,0,4,0,7,0
820210910,0,0,3,0,0,0,0,0,3,0
820210911,9,6,0,0,0,0,0,0,15,0
820210912,6,2,0,0,0,0,2,0,10,0
820210913,2,3,0,0,0,0,0,0,5,0
820210914,4,0,0,0,0,0,0,0,4,0
820211001,0,4,1,0,0,0,0,0,5,0
820211002,2,5,0,0,0,0,0,0,7,0
820211003,2,6,0,0,0,0,0,0,8,0
820211004,0,3,1,0,0,0,0,0,4,0
820211005,3,4,0,0,0,0,0,0,7,0
820211006,3,3,0,0,0,0,0,0,6,0
820211007,0,6,0,0,0,0,0,0,6,0
820211008,1,0,0,0,0,0,0,0,1,0
820211009,3,5,0,0,0,0,0,0,8,0
820211010,0,0,0,0,0,0,0,0,0,0
820211011,0,2,0,0,0,0,0,5,7,0
820211012,0,6,0,0,0,0,0,0,6,0
820211013,6,14,4,0,0,0,0,1,25,0
820211014,4,5,0,0,0,0,0,0,9,0
820211015,4,5,0,0,0,0,0,0,9,0
820211016,4,0,0,2,0,0,0,0,6,0
820211017,15,2,0,0,0,0,0,0,17,0
820211018,5,0,0,0,0,0,0,0,5,0
820280101,1,0,0,0,0,0,0,0,1,0
820280102,0,0,0,0,0,0,0,0,0,0
820280103,1,0,0,0,0,0,0,1,2,0
820280104,7,5,0,0,0,0,0,2,14,0
820280105,8,10,1,0,0,0,0,0,19,0
820280106,1,0,0,0,0,0,0,0,1,0
820280107,2,0,4,0,0,0,0,0,6,0
820280108,1,1,0,0,0,0,0,0,2,0
820280109,5,2,0,0,0,0,0,0,8,1
820280110,1,0,0,0,0,0,0,0,1,0
820280111,0,0,0,0,0,0,1,0,1,0
820280112,3,2,0,0,0,0,0,0,5,0
820280113,0,1,0,0,0,0,0,0,1,0
820280114,5,3,3,0,0,0,0,0,11,0
820280115,0,0,0,0,0,0,0,0,0,0
820280116,0,0,0,0,0,0,0,0,0,0
820280117,8,3,0,0,0,0,0,0,12,1
820280118,0,0,0,0,0,0,0,0,0,0
820280119,2,0,0,0,0,0,0,0,3,1
820280120,0,0,0,0,0,0,0,0,0,0
820280121,3,0,0,0,0,0,0,0,3,0
820280122,3,0,0,0,0,0,0,0,3,0
820280123,0,3,0,0,0,0,0,0,3,0
820280124,3,0,0,0,0,0,0,0,3,0
820280201,6,3,0,0,0,0,1,0,10,0
820280202,0,0,0,0,0,0,0,0,0,0
820280203,1,0,0,0,0,0,0,0,1,0
820280204,1,1,0,0,0,0,0,0,2,0
820280205,7,7,0,0,0,0,0,0,14,0
820280206,1,0,0,0,0,0,0,0,1,0
820280207,2,0,0,0,0,0,0,0,2,0
820280208,0,0,0,0,0,0,0,1,1,0
820280209,0,4,0,0,0,0,0,0,4,0
820280210,1,0,0,0,0,0,0,0,1,0
820280211,1,0,0,0,0,0,0,0,1,0
820280212,4,14,0,0,0,0,0,0,18,0
820280213,0,0,0,0,0,0,0,0,0,0
820280214,4,2,0,0,0,0,0,0,6,0
820280215,0,0,0,0,0,0,0,0,0,0
820280216,0,0,0,0,0,0,0,0,0,0
820280217,0,1,0,0,0,0,0,0,1,0
820280218,0,0,0,0,0,0,0,0,0,0
820280219,0,0,0,0,0,0,0,0,0,0
820280220,1,1,0,0,0,0,0,0,2,0
820280221,3,0,0,0,0,0,0,0,3,0
820280301,11,40,10,0,2,0,0,9,72,0
820280302,8,0,0,0,1,0,0,0,9,0
820280303,7,2,2,0,0,0,0,0,11,0
820280304,5,0,0,0,0,0,0,0,5,0
820280305,1,0,0,0,0,0,0,0,1,0
820280306,6,4,0,2,0,0,0,6,18,0
820280307,4,4,0,0,0,0,0,0,8,0
820280308,0,0,0,0,1,0,0,0,1,0
820280309,35,5,0,0,0,0,0,1,41,0
820280310,2,1,0,0,0,0,0,1,4,0
820280311,4,0,0,0,0,0,0,0,4,0
820280312,4,0,1,0,0,0,0,0,5,0
820280313,0,0,0,0,0,0,0,0,0,0
820280314,1,0,0,0,0,0,0,0,1,0
820280315,0,2,0,0,0,0,0,0,2,0
820280316,0,1,0,0,0,0,0,0,1,0
820280317,0,0,0,0,0,0,0,0,0,0
820280318,5,2,0,0,0,0,0,0,8,1
820280319,0,0,0,0,0,0,0,0,0,0
820280320,3,3,0,0,0,0,0,1,7,0
820280321,3,1,0,0,0,0,0,0,4,0
820280322,1,11,2,0,0,0,0,3,17,0
820280323,2,4,0,0,0,0,0,0,6,0
820280324,4,10,1,0,0,0,0,0,15,0
820280325,3,0,0,0,0,0,0,0,3,0
820280326,11,10,0,0,3,0,0,1,25,0
820280327,2,0,0,0,0,0,0,0,2,0
820280401,5,4,5,0,0,0,0,0,14,0
820280402,8,7,0,1,0,0,0,4,20,0
820280403,14,13,0,0,0,0,0,5,32,0
820280404,12,2,0,0,0,0,0,0,14,0
820280405,6,14,2,1,3,0,0,0,26,0
820280406,3,0,0,0,0,0,0,0,3,0
820280407,1,0,0,2,0,0,3,0,6,0
820280408,0,0,0,0,0,0,0,0,0,0
820280409,6,1,0,0,0,0,0,0,7,0
820280410,5,3,0,0,3,0,0,0,11,0
820280411,8,0,0,0,0,0,1,0,9,0
820280412,6,0,0,0,0,0,0,0,6,0
820280413,6,0,0,0,0,0,0,0,6,0
820280414,3,1,0,0,0,0,0,0,4,0
820280415,9,8,0,0,0,0,0,0,17,0
820280501,9,19,0,0,0,0,2,12,42,0
820280502,1,3,2,0,0,0,0,0,6,0
820280503,6,0,0,0,0,0,0,0,6,0
820280504,4,1,0,0,0,0,0,0,5,0
820280505,18,7,0,1,0,0,0,1,27,0
820280506,10,3,0,0,0,0,0,6,19,0
820280507,8,1,0,0,0,0,0,0,9,0
820280508,14,4,0,0,0,0,2,0,20,0
820280509,10,1,0,0,0,0,0,0,11,0
820280510,3,2,0,0,0,0,0,0,5,0
820280511,6,1,0,0,0,0,0,0,7,0
820280512,36,7,0,0,0,0,0,0,43,0
820280513,7,1,2,2,0,0,0,0,12,0
820280514,8,5,0,0,0,0,1,0,14,0
820280515,14,13,1,0,3,0,0,1,32,0
820280516,4,2,0,0,0,0,0,0,6,0
820280517,14,3,0,0,0,0,0,0,17,0
820289201,0,1,0,0,0,0,0,0,1,0
820350101,1,9,1,0,0,0,0,0,11,0
820350102,7,19,0,0,0,0,0,7,33,0
820350103,1,1,0,0,0,0,0,15,17,0
820350104,0,0,0,0,0,0,0,0,0,0
820350105,0,0,0,0,0,0,0,0,0,0
820350106,5,22,1,0,0,0,0,44,72,0
820350107,0,1,0,0,0,0,0,0,1,0
820350108,0,11,0,0,0,0,0,2,13,0
820350109,0,6,0,0,0,0,0,2,8,0
820350110,0,10,0,0,0,0,0,1,11,0
820350111,2,3,0,0,0,0,0,0,5,0
820350112,0,15,0,0,0,0,0,7,22,0
820350113,16,4,0,0,0,0,0,0,20,0
820350114,5,2,0,0,0,0,0,1,8,0
820350115,0,0,0,0,0,0,0,0,0,0
820350116,4,9,0,0,0,0,0,0,13,0
820350117,0,3,0,0,0,0,0,1,4,0
820350201,0,0,0,0,0,0,0,0,0,0
820350202,2,33,0,0,0,0,0,6,41,0
820350203,0,0,0,0,0,0,0,0,0,0
820350204,2,0,0,0,0,0,0,2,4,0
820350205,1,0,0,0,0,0,0,1,2,0
820350206,1,11,0,0,0,0,0,2,14,0
820350207,2,40,0,0,0,0,0,4,48,2
820350208,1,4,0,0,0,0,0,2,7,0
820350209,8,24,13,0,0,0,0,12,57,0
820350210,11,3,0,0,0,0,0,4,18,0
820350211,10,30,0,0,0,0,2,4,46,0
820350212,6,26,0,0,0,0,8,0,40,0
820350213,4,27,0,0,0,0,0,6,37,0
820420101,0,0,0,0,0,0,0,0,0,0
820420102,2,4,0,0,1,0,0,0,7,0
820420103,2,0,0,0,0,0,1,0,3,0
820420104,1,3,0,0,0,0,1,0,5,0
820420105,0,1,0,0,0,0,0,0,1,0
820420106,0,1,0,0,0,0,0,0,1,0
820420107,10,6,0,0,0,0,0,0,16,0
820420108,7,0,0,0,0,0,0,0,7,0
820420109,2,0,0,0,0,0,0,0,2,0
820420110,4,1,0,0,0,0,0,0,5,0
820420111,5,3,0,0,0,0,0,0,8,0
820420112,1,2,0,0,0,0,0,0,3,0
820420113,0,0,0,0,0,0,0,0,0,0
820420115,2,1,0,0,0,0,0,0,3,0
820420116,2,2,0,0,0,0,0,0,4,0
820420117,5,5,1,0,0,0,0,0,11,0
820420118,1,0,0,0,0,0,0,0,1,0
820420119,3,2,14,0,0,0,0,0,19,0
820420120,0,0,0,0,0,0,0,1,1,0
820420121,1,6,0,0,0,0,0,3,10,0
820420122,3,8,0,0,0,0,0,0,11,0
820420123,0,1,0,0,0,0,0,0,1,0
820420124,2,1,0,0,0,0,0,0,3,0
820420201,14,0,0,0,0,0,0,0,14,0
820420202,2,3,0,0,0,0,0,0,5,0
820420203,0,0,0,0,0,0,0,0,0,0
820420204,8,1,0,0,0,0,0,0,9,0
820420205,1,4,0,0,0,0,0,2,7,0
820420206,10,20,2,0,0,0,0,1,33,0
820420207,0,0,0,0,0,0,0,0,0,0
820420208,1,3,1,0,0,0,0,0,5,0
820420209,0,0,0,0,0,0,0,0,0,0
820420210,1,3,0,0,0,0,0,1,5,0
820420211,2,8,0,0,0,0,0,0,10,0
820420212,3,1,0,0,0,0,0,0,4,0
820420213,3,2,0,0,0,0,1,0,6,0
820420214,5,4,0,0,0,0,0,1,10,0
